tv_id,symbol,description,exchange,type,quote_currency,typespecs,provider_id,prefix,pro_name,original_name,logo_logoid,logo_logoid2
KUCOIN:HYPEUSDT,HYPEUSDT,Hyperliquid / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCHYPEH,crypto/XTVCUSDT
KUCOIN:BTCUSDT,BTCUSDT,Bitcoin / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCBTC,crypto/XTVCUSDT
KUCOIN:SOLUSDT,SOLUSDT,Solana / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCSOL,crypto/XTVCUSDT
KUCOIN:ETHUSDT,ETHUSDT,Ethereum / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCETH,crypto/XTVCUSDT
KUCOIN:XMRUSDT,XMRUSDT,Monero / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCXMR,crypto/XTVCUSDT
KUCOIN:XRPUSDT,XRPUSDT,Ripple / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCXRP,crypto/XTVCUSDT
KUCOIN:ZECUSDT,ZECUSDT,ZEC / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCZEC,crypto/XTVCUSDT
KUCOIN:TELUSDT,TELUSDT,Telcoin / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCTEL,crypto/XTVCUSDT
KUCOIN:VELOUSDT,VELOUSDT,VELO / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCVELO,crypto/XTVCUSDT
KUCOIN:KASUSDT,KASUSDT,KASPA / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCKAS,crypto/XTVCUSDT
KUCOIN:VRAUSDT,VRAUSDT,Verasity / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCVRA,crypto/XTVCUSDT
KUCOIN:CCUSDT,CCUSDT,Canton Network / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCCCCA,crypto/XTVCUSDT
KUCOIN:ADAUSDT,ADAUSDT,Cardano / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCADA,crypto/XTVCUSDT
KUCOIN:SUIUSDT,SUIUSDT,SUI / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCSUI,crypto/XTVCUSDT
KUCOIN:XDCUSDT,XDCUSDT,XDC Mainnet / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCXDC,crypto/XTVCUSDT
KUCOIN:ONDOUSDT,ONDOUSDT,Ondo / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCONDO,crypto/XTVCUSDT
KUCOIN:LUNCUSDT,LUNCUSDT,Terra Classic / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCLUNC,crypto/XTVCUSDT
KUCOIN:PYRUSDT,PYRUSDT,Vulcan Forged PYR / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCPYR,crypto/XTVCUSDT
KUCOIN:AKTUSDT,AKTUSDT,Akash Network / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCAKT,crypto/XTVCUSDT
KUCOIN:DOGEUSDT,DOGEUSDT,Dogecoin / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCDOGE,crypto/XTVCUSDT
KUCOIN:TAOUSDT,TAOUSDT,Bittensor / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCTAOB,crypto/XTVCUSDT
KUCOIN:CROUSDT,CROUSDT,Cronos / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCCRO,crypto/XTVCUSDT
KUCOIN:TONUSDT,TONUSDT,Ton / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCTON,crypto/XTVCUSDT
KUCOIN:AVAXUSDT,AVAXUSDT,Avalanche / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCAVAX,crypto/XTVCUSDT
KUCOIN:DAGUSDT,DAGUSDT,Constellation / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCDAG,crypto/XTVCUSDT
KUCOIN:LINKUSDT,LINKUSDT,Chainlink / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCLINK,crypto/XTVCUSDT
KUCOIN:ANYONEUSDT,ANYONEUSDT,ANyONe Protocol / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCANYONE,crypto/XTVCUSDT
KUCOIN:AIOZUSDT,AIOZUSDT,AIOZ Network / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCAIOZ,crypto/XTVCUSDT
KUCOIN:AEROUSDT,AEROUSDT,Aerodrome Finance / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCAEROD,crypto/XTVCUSDT
KUCOIN:JUPUSDT,JUPUSDT,Jupiter / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCJUPI,crypto/XTVCUSDT
KUCOIN:SHIBUSDT,SHIBUSDT,SHIBA INU / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCSHIB,crypto/XTVCUSDT
KUCOIN:PEPEUSDT,PEPEUSDT,Pepe / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCPEPE,crypto/XTVCUSDT
KUCOIN:NEARUSDT,NEARUSDT,NEAR Protocol / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCNEAR,crypto/XTVCUSDT
KUCOIN:DOTUSDT,DOTUSDT,Polkadot / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCDOT,crypto/XTVCUSDT
KUCOIN:XUSDT,XUSDT,X Empire / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCXE,crypto/XTVCUSDT
KUCOIN:QNTUSDT,QNTUSDT,Quant / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCQNT,crypto/XTVCUSDT
KUCOIN:CPOOLUSDT,CPOOLUSDT,Clearpool / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCCPOOL,crypto/XTVCUSDT
KUCOIN:PEAQUSDT,PEAQUSDT,peaq / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCPEAQ,crypto/XTVCUSDT
KUCOIN:KCSUSDT,KCSUSDT,KuCoin Token / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCKCS,crypto/XTVCUSDT
KUCOIN:HBARUSDT,HBARUSDT,Hedera Hashgraph / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCHBAR,crypto/XTVCUSDT
KUCOIN:IMXUSDT,IMXUSDT,Immutable X / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCIMXIMMUTABLEX,crypto/XTVCUSDT
KUCOIN:ELONUSDT,ELONUSDT,Dogelon / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCELON,crypto/XTVCUSDT
KUCOIN:ARBUSDT,ARBUSDT,Arbitrum / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCARBI,crypto/XTVCUSDT
KUCOIN:PUMPUSDT,PUMPUSDT,pump.fun / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCPUMPF,crypto/XTVCUSDT
KUCOIN:WIFUSDT,WIFUSDT,dogwifhat / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCWIF,crypto/XTVCUSDT
KUCOIN:FARTCOINUSDT,FARTCOINUSDT,Fartcoin / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCFARTCOIN,crypto/XTVCUSDT
KUCOIN:AAVEUSDT,AAVEUSDT,Aave / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCAAVE,crypto/XTVCUSDT
KUCOIN:NAKAUSDT,NAKAUSDT,Nakamoto.Games / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCNAKA,crypto/XTVCUSDT
KUCOIN:ALGOUSDT,ALGOUSDT,Algorand / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCALGO,crypto/XTVCUSDT
KUCOIN:FILUSDT,FILUSDT,Filecoin / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCFIL,crypto/XTVCUSDT
KUCOIN:HNTUSDT,HNTUSDT,Helium / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCHNT,crypto/XTVCUSDT
KUCOIN:DASHUSDT,DASHUSDT,Dash / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCDASH,crypto/XTVCUSDT
KUCOIN:VETUSDT,VETUSDT,Vechain / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCVET,crypto/XTVCUSDT
KUCOIN:REKTUSDT,REKTUSDT,Rekt / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCREKTC,crypto/XTVCUSDT
KUCOIN:LYXUSDT,LYXUSDT,LUKSO / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCLYX,crypto/XTVCUSDT
KUCOIN:BNBUSDT,BNBUSDT,Binance Chain Native Token / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCBNB,crypto/XTVCUSDT
KUCOIN:UNIUSDT,UNIUSDT,Uniswap / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCUNI,crypto/XTVCUSDT
KUCOIN:NPCUSDT,NPCUSDT,Non Playable Coin / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCNPCN,crypto/XTVCUSDT
KUCOIN:APTUSDT,APTUSDT,Aptos / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCAPTO,crypto/XTVCUSDT
KUCOIN:USELESSUSDT,USELESSUSDT,USELESS COIN / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCUSELESS,crypto/XTVCUSDT
KUCOIN:HTRUSDT,HTRUSDT,Hathor / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCHTR,crypto/XTVCUSDT
KUCOIN:ROSEUSDT,ROSEUSDT,Oasis Network / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCROSE,crypto/XTVCUSDT
KUCOIN:BULLAUSDT,BULLAUSDT,Bulla / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCBULLA2,crypto/XTVCUSDT
KUCOIN:INJUSDT,INJUSDT,Injective / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCINJ,crypto/XTVCUSDT
KUCOIN:ENAUSDT,ENAUSDT,Ethena / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCENA,crypto/XTVCUSDT
KUCOIN:WILDUSDT,WILDUSDT,Wilder World / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCWILD,crypto/XTVCUSDT
KUCOIN:DMTRUSDT,DMTRUSDT,Dimitra / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCDMTR,crypto/XTVCUSDT
KUCOIN:ICPUSDT,ICPUSDT,Internet Computer / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCICP,crypto/XTVCUSDT
KUCOIN:POKTUSDT,POKTUSDT,Pocket Network / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCPOKT,crypto/XTVCUSDT
KUCOIN:ROOTUSDT,ROOTUSDT,The Root Network / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCROOT,crypto/XTVCUSDT
KUCOIN:ORAIUSDT,ORAIUSDT,Oraichain Token / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCORAI,crypto/XTVCUSDT
KUCOIN:ATOMUSDT,ATOMUSDT,Cosmos / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCATOM,crypto/XTVCUSDT
KUCOIN:OPULUSDT,OPULUSDT,Opulous / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCOPUL,crypto/XTVCUSDT
KUCOIN:LTCUSDT,LTCUSDT,Litecoin / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCLTC,crypto/XTVCUSDT
KUCOIN:BTRUSDT,BTRUSDT,Bitlayer / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,,
KUCOIN:PENGUUSDT,PENGUUSDT,Pudgy Penguins / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCPENGUPUD,crypto/XTVCUSDT
KUCOIN:METISUSDT,METISUSDT,Metis / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCMETIS,crypto/XTVCUSDT
KUCOIN:AVAAIUSDT,AVAAIUSDT,Ava AI / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCAVA2,crypto/XTVCUSDT
KUCOIN:SUSHIUSDT,SUSHIUSDT,SushiSwap / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCSUSHI,crypto/XTVCUSDT
KUCOIN:SEIUSDT,SEIUSDT,Sei / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCSEI,crypto/XTVCUSDT
KUCOIN:XPRUSDT,XPRUSDT,XPR Network / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCXPR,crypto/XTVCUSDT
KUCOIN:XLMUSDT,XLMUSDT,Stellar / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCXLM,crypto/XTVCUSDT
KUCOIN:OPUSDT,OPUSDT,Optimism / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCOP,crypto/XTVCUSDT
KUCOIN:MOODENGUSDT,MOODENGUSDT,Moo Deng / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCMOODENG,crypto/XTVCUSDT
KUCOIN:MOGUSDT,MOGUSDT,Mog Coin / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCMOG,crypto/XTVCUSDT
KUCOIN:PAXGUSDT,PAXGUSDT,PAX Gold / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCPAXG,crypto/XTVCUSDT
KUCOIN:TRXUSDT,TRXUSDT,Tron / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCTRX,crypto/XTVCUSDT
KUCOIN:BCHUSDT,BCHUSDT,Bitcoin Cash / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCBCH,crypto/XTVCUSDT
KUCOIN:TIAUSDT,TIAUSDT,Celestia / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCTIA2,crypto/XTVCUSDT
KUCOIN:AXSUSDT,AXSUSDT,Axie Infinity / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCAXS,crypto/XTVCUSDT
KUCOIN:COQUSDT,COQUSDT,Coq Inu / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCCOQ,crypto/XTVCUSDT
KUCOIN:ZBCNUSDT,ZBCNUSDT,Zebec Network / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCZBCN,crypto/XTVCUSDT
KUCOIN:XCNUSDT,XCNUSDT,Onyxcoin / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCXCNCHAIN,crypto/XTVCUSDT
KUCOIN:JASMYUSDT,JASMYUSDT,JasmyCoin / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCJASMY,crypto/XTVCUSDT
KUCOIN:ARUSDT,ARUSDT,Arweave / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCAR,crypto/XTVCUSDT
KUCOIN:UAIUSDT,UAIUSDT,UnifAI / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCUAIU,crypto/XTVCUSDT
KUCOIN:SYRUPUSDT,SYRUPUSDT,Syrup Token / Tether,KuCoin,spot,USDT,crypto|leveraged|defi,kucoin,KUCOIN,,,crypto/XTVCSYRUP,crypto/XTVCUSDT
KUCOIN:CYSUSDT,CYSUSDT,Cysic Token / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCCYSI,crypto/XTVCUSDT
KUCOIN:CHZUSDT,CHZUSDT,Chiliz / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCCHZ,crypto/XTVCUSDT
KUCOIN:ERGUSDT,ERGUSDT,Ergo / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCERG,crypto/XTVCUSDT
KUCOIN:DEEPUSDT,DEEPUSDT,DeepBook / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCDEEPB,crypto/XTVCUSDT
KUCOIN:FLUXUSDT,FLUXUSDT,flux / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCFLUX,crypto/XTVCUSDT
KUCOIN:ZORAUSDT,ZORAUSDT,Zora / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCZORA2,crypto/XTVCUSDT
KUCOIN:BONKUSDT,BONKUSDT,BONK / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCBONK,crypto/XTVCUSDT
KUCOIN:FLRUSDT,FLRUSDT,Flare Network / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCFLR,crypto/XTVCUSDT
